"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C2A","question_order","values","sum","mean","median","min","max","count","variance","sd","frequencies","all","subset","choices","advice_choose","give_outcome","image","random_outcome","C2B","partner_advice"
"494.09999990463257","<p style=""color:white;""> Remember: your goal is to correctly identify as many images as possible, and  <strong> the performance of your partner will not impact your score. </strong></p> <p style=""color:white;""> You will recieve a monetary bonus of $2 if you are among the top scorers on the HIT. </p> <p style=""color:white;"">Press the space bar when you are ready to start! </p>"," ","html-keyboard-response","27","27032","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","",""
"830.7999999523163","<p style=""color:white;""> Finding your partner for the HIT...let us begin! </p> <p <div class=""loader"">Loading...</div> </p><p style=""color:white;"">Press the space bar when you are ready to start </p>"," ","html-keyboard-response","28","28867","0.0-6.0","","","","","","","","","","","","","","","","","","","","","","",""
"1669.8000000715256","images/10/8_4.jpg","0","image-button-response","29","33040","0.0-7.0-0.0","c1_train",".","0","","","","","","","","","","","","","","","","","","","",""
"1674.8999999761581","","{""Q0"":3}","survey-likert","30","34717","0.0-7.0-1.0","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"1010.2999999523163","","0","html-button-response","31","35729","0.0-7.0-2.0","","","","","","","","","","","","","","","","","[""Give advice"",""Accept advice""]","0","","","","",""
"449.2999999523163","<p style=""color:white;""> You elected to give advice, and your partner did not agree</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","32","36179","0.0-7.0-3.0-1.0-0.0","","","","","","","","","","","","","","","","","","","did not agree","images/10/8_4.jpg","","",""
"301.89999997615814","<p style=""color:white;""> You have been randomly selected to recieve advice</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","33","36482","0.0-7.0-3.0-1.0-2.0-0.0","","","","","","","","","","","","","","","","","","","","images/10/8_4.jpg","recieve advice","",""
"246.39999997615814","<p style=""color:white;""> Your partner tells you the image is a Face</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","34","36730","0.0-7.0-3.0-1.0-2.0-1.0-0.0","","","","","","","","","","","","","","","","","","","","images/10/8_4.jpg","","","Face"
"1202.6999999284744","images/10/8_4.jpg","0","image-button-response","35","37935","0.0-7.0-5.0","c1_train",".","","","","","","","","","","","","","","","","","","","","0",""
"1315.8000000715256","","{""Q0"":3}","survey-likert","36","39253","0.0-7.0-6.0","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"827.5","images/10/5_13.jpg","0","image-button-response","37","40082","0.0-7.0-0.1","c1_train",",","0","","","","","","","","","","","","","","","","","","","",""
"1731.3000000715256","","{""Q0"":3}","survey-likert","38","41815","0.0-7.0-1.1","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"583.5","","0","html-button-response","39","42401","0.0-7.0-2.1","","","","","","","","","","","","","","","","","[""Give advice"",""Accept advice""]","0","","","","",""
"459.2000000476837","<p style=""color:white;""> You elected to give advice, and your partner would like your advice</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","40","42861","0.0-7.0-3.1-0.1-0.1","","","","","","","","","","","","","","","","","","","would like your advice","images/10/5_13.jpg","","",""
"708.2000000476837","<p style=""color:white;""> What would you like to tell your partner about the image? </p>","0","html-button-response","41","43571","0.0-7.0-3.1-0.1-1.1","","","","","","","","","","","","","","","","","","","","images/10/5_13.jpg","","",""
"672.6000000238419","images/10/5_13.jpg","0","image-button-response","42","44245","0.0-7.0-5.1","c1_train",",","","","","","","","","","","","","","","","","","","","","0",""
"1922.6999999284744","","{""Q0"":3}","survey-likert","43","46170","0.0-7.0-6.1","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"583.5","images/10/1_1.jpg","0","image-button-response","44","46756","0.0-7.0-0.2","c1_train",",","0","","","","","","","","","","","","","","","","","","","",""
"1841.3999999761581","","{""Q0"":3}","survey-likert","45","48600","0.0-7.0-1.2","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"593.8999999761581","","0","html-button-response","46","49196","0.0-7.0-2.2","","","","","","","","","","","","","","","","","[""Give advice"",""Accept advice""]","0","","","","",""
"471.3000000715256","<p style=""color:white;""> You elected to give advice, and your partner did not agree</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","47","49668","0.0-7.0-3.2-1.2-0.2","","","","","","","","","","","","","","","","","","","did not agree","images/10/1_1.jpg","","",""
"358.1999999284744","<p style=""color:white;""> You have been randomly selected to give advice</p><p style=""color:white;""> Press the space bar to continue </p>"," ","html-keyboard-response","48","50027","0.0-7.0-3.2-1.2-1.2-0.2","","","","","","","","","","","","","","","","","","","","images/10/1_1.jpg","give advice","",""
"663.5999999046326","<p style=""color:white;""> What would you like to tell your partner about the image? </p>","0","html-button-response","49","50692","0.0-7.0-3.2-1.2-1.2-1.2","","","","","","","","","","","","","","","","","","","","images/10/1_1.jpg","","",""
"1257.6999999284744","images/10/1_1.jpg","0","image-button-response","50","51952","0.0-7.0-5.2","c1_train",",","","","","","","","","","","","","","","","","","","","","0",""
"1292","","{""Q0"":3}","survey-likert","51","53246","0.0-7.0-6.2","","","","[0]","[]","0","NaN","","Infinity","-Infinity","0","0","0","{}","true","{""values"":[]}","","","","","","",""
"null","<p style=""color:white;"">You have now completed the task! Saving data...PLEASE DO NOT CLOSE THIS BROWSER until you complete the second part.</p> <p style=""color:white;"">BEFORE THE LINK DISAPPEARS please move on to the second part of the task at this link to obtain your completion code:</p> <a href=https://yalesurvey.ca1.qualtrics.com/jfe/form/SV_3WtH6yUsp996JZc target=""_blank"">https://yalesurvey.ca1.qualtrics.com/jfe/form/SV_3WtH6yUsp996JZc</a>","null","html-keyboard-response","52","94234","0.0-8.0","","","","","","","","","","","","","","","","","","","","","","",""
